"gameId","gameName","alternateNames","subcategory","level","description","playersMax","ageRange","duration","equipmentNeeded","objective","skillsDeveloped","setupTime","place","physicalIntensityLevel","educationalBenefits","category"
"572","Viticulture Essential Edition","None","Worker Placement Game","Intermediate","Players run a vineyard in Tuscany, planting vines, harvesting grapes, and filling wine orders.","6","13+","45-90 minutes","Viticulture Essential Edition game set","Score the most victory points by managing your vineyard efficiently.","Strategic planning; Resource management; Timing","10 minutes","Tabletop","Low","Enhances strategic thinking and planning skills","Board Games"
"573","Root: A Game of Woodland Might and Right","None","Asymmetrical Strategy Game","Intermediate to Advanced","An expansion of Root, adding new factions and mechanics to the woodland conflict.","6","10+","60-90 minutes","Root game set with expansions","Achieve the highest score by completing your faction's objectives.","Strategic planning; Negotiation; Tactical thinking","10 minutes","Tabletop","Low","Enhances strategic thinking and adaptability","Board Games"
"574","Captain Sonar","None","Team Strategy Game","Intermediate","Two teams command submarines, trying to locate and destroy the opposing team's submarine in real-time.","8","14+","45-60 minutes","Captain Sonar game set","Sink the enemy submarine before they sink yours.","Teamwork; Communication; Strategic planning","10 minutes","Tabletop","Low","Enhances teamwork and strategic coordination","Board Games"
"575","Jaipur","None","Card Game","Beginner to Intermediate","A two-player trading game where players collect and exchange goods to become the Maharaja's personal trader.","2","12+","30 minutes","Jaipur card game","Have the most points by trading goods and collecting camels.","Strategic planning; Risk management; Resource management","2 minutes","Tabletop","Low","Develops strategic thinking and decision-making skills","Card Games"
"576","Star Realms","None","Deck-Building Game","Beginner to Intermediate","Players build decks to deploy ships and bases, aiming to reduce the opponent's authority to zero.","2","12+","20 minutes","Star Realms card game","Defeat your opponent by reducing their authority to zero.","Deck optimization; Strategic planning; Resource management","2 minutes","Tabletop","Low","Enhances strategic thinking and deck-building skills","Card Games"
"577","Magic: The Gathering","None","Collectible Card Game","Beginner to Advanced","Players build decks from a vast pool of cards, summoning creatures and casting spells to defeat opponents.","2+","13+","Variable","Magic cards; Decks","Reduce your opponent's life total to zero using your deck's strategy.","Strategic thinking; Deck building; Resource management","Varies","Tabletop","Low","Develops strategic planning and critical thinking","Card Games"
"578","Kingdomino Duel","None","Roll-and-Write Game","Beginner","A two-player version of Kingdomino where players draw dominoes on a grid based on dice rolls.","2","8+","20 minutes","Kingdomino Duel game set; Pencils","Score the most points by creating a kingdom with valuable terrains.","Strategic planning; Spatial reasoning; Probability","2 minutes","Tabletop","Low","Enhances strategic thinking and spatial skills","Board Games"
"579","Five Tribes","None","Strategy Board Game","Intermediate","Players manipulate tribes of meeples to control territories and gain influence in Naqala.","4","13+","40-80 minutes","Five Tribes game set","Accumulate the most victory points through strategic actions.","Strategic planning; Resource management; Tactical thinking","10 minutes","Tabletop","Low","Develops strategic thinking and planning skills","Board Games"
"580","Zombicide","None","Cooperative Miniatures Game","Intermediate to Advanced","Players work together to survive a zombie apocalypse, completing objectives and fighting off hordes.","6","14+","60-180 minutes","Zombicide game set","Complete mission objectives and survive the zombie onslaught.","Teamwork; Strategic planning; Problem-solving","15 minutes","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"581","Coup","None","Bluffing Card Game","Beginner to Intermediate","Players use deception to eliminate other players and be the last one standing in a dystopian universe.","6","10+","15 minutes","Coup card game","Eliminate other players through strategic actions and bluffs.","Strategic thinking; Deception; Risk assessment","2 minutes","Tabletop","Low","Develops strategic planning and bluffing skills","Card Games"
"582","The Crew: The Quest for Planet Nine","None","Cooperative Trick-Taking Game","Intermediate","Players work together to complete missions in space through a series of trick-taking rounds.","5","10+","20 minutes per mission","The Crew card game","Complete all missions by fulfilling task cards collectively.","Teamwork; Communication; Strategic thinking","2 minutes","Tabletop","Low","Enhances teamwork and strategic planning","Card Games"
"583","Clank! A Deck-Building Adventure","None","Deck-Building Game","Intermediate","Players delve into a dungeon to steal artifacts, using deck-building mechanics while avoiding making too much noise.","4","13+","60 minutes","Clank! game set","Collect valuable artifacts and escape the dungeon alive.","Strategic planning; Risk management; Deck optimization","10 minutes","Tabletop","Low","Combines strategic thinking with deck-building skills","Board Games"
"584","Ticket to Ride: London","None","Strategy Board Game","Beginner","A quick version of Ticket to Ride set in London, using buses instead of trains.","4","8+","10-15 minutes","Ticket to Ride: London game set","Score the most points by completing routes and connecting districts.","Strategic planning; Geography knowledge; Risk management","2 minutes","Tabletop","Low","Enhances strategic thinking and geographical knowledge","Board Games"
"585","Lost Cities","None","Card Game","Beginner to Intermediate","Players embark on expeditions by playing cards in ascending order, aiming for the highest score.","2","10+","30 minutes","Lost Cities card game","Score the most points by investing in successful expeditions.","Strategic planning; Risk management; Probability","2 minutes","Tabletop","Low","Develops strategic thinking and decision-making skills","Card Games"
"586","Boss Monster","None","Card Game","Beginner to Intermediate","Players build dungeon rooms to lure and defeat heroes, emulating classic video game villains.","4","13+","20 minutes","Boss Monster card game","Be the first to collect enough souls by defeating heroes, without dying.","Strategic planning; Resource management; Thematic immersion","5 minutes","Tabletop","Low","Enhances strategic thinking and planning skills","Card Games"
"587","Forbidden Island","None","Cooperative Board Game","Beginner to Intermediate","Players work together to retrieve treasures from a sinking island and escape before it's too late.","4","10+","30 minutes","Forbidden Island game set","Collect all treasures and escape the island before it sinks.","Teamwork; Strategic planning; Problem-solving","5 minutes","Tabletop","Low","Enhances cooperative skills and strategic thinking","Board Games"
"588","Catan Junior","None","Strategy Board Game","Beginner","A children's version of Catan where players build hideouts and pirate ships to collect resources.","4","6+","30 minutes","Catan Junior game set","Be the first to build all your pirate lairs.","Resource management; Strategic planning; Negotiation","5 minutes","Tabletop","Low","Introduces strategic thinking and resource management","Children's Games"
